I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.029279999999999973,0.019519999999999996,-0.009759999999999986,-0.0244,0.01952,0.004880000000000013,0.04879999999999998,0.08784,0.07808000000000001,0.03903999999999999,-0.009760000000000043,-0.019520000000000003
0.02928000000000003,0.024399999999999995,-0.004880000000000018,-0.02684000000000002,0.017079999999999998,0.009760000000000005,0.04880000000000001,0.08784000000000002,0.07808000000000004,0.043920000000000015,-0.00488000000000005,-0.014640000000000044
0.029280000000000007,0.029279999999999952,-1.7053025658242406e-17,-0.029279999999999987,0.014639999999999995,0.014640000000000004,0.04879999999999998,0.08784000000000003,0.07808000000000002,0.048800000000000045,1.1368683772161604e-17,-0.009759999999999968
0.02928000000000002,0.029279999999999987,-1.1368683772161604e-17,-0.029279999999999962,0.014640000000000002,0.014639999999999953,0.039040000000000005,0.09271999999999997,0.09272000000000004,0.058559999999999994,0.009759999999999986,-0.009759999999999998
0.029280000000000004,0.029280000000000014,1.1368683772161604e-17,-0.02927999999999998,0.014640000000000007,0.014640000000000018,0.029280000000000007,0.0976,0.10736,0.06831999999999999,0.019519999999999982,-0.009760000000000005
0.03415999999999999,0.04879999999999999,0.014640000000000002,-0.041479999999999975,0.00975999999999999,0.03172000000000002,0.043919999999999994,0.11223999999999999,0.11712000000000003,0.08295999999999999,0.03416000000000006,-3.979039320256561e-17
0.03904000000000003,0.06832000000000003,0.029279999999999987,-0.05367999999999995,0.004880000000000004,0.04880000000000002,0.058559999999999994,0.12688000000000002,0.12688,0.09760000000000002,0.04880000000000014,0.009759999999999998
0.03904,0.06831999999999996,0.02928000000000002,-0.053679999999999985,0.004879999999999997,0.04880000000000002,0.04880000000000002,0.12687999999999997,0.13176000000000002,0.10248000000000003,0.05367999999999986,0.014640000000000066
0.039039999999999964,0.06831999999999999,0.029280000000000007,-0.053679999999999964,0.004880000000000004,0.04880000000000002,0.03904,0.12688,0.13663999999999996,0.10736,0.058560000000000015,0.019519999999999944
0.03903999999999999,0.08784000000000003,0.04880000000000002,-0.06343999999999998,-0.00488000000000005,0.06832000000000002,0.03415999999999999,0.13176,0.15128000000000003,0.12200000000000003,0.06831999999999992,0.02927999999999999
